INFO 2025-12-25 18:29:38,690 autoreload Watching for file changes with StatReloader
INFO 2025-12-25 18:33:00,249 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:33:00,256 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:33:01,839 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:33:01,846 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:33:05,310 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:33:05,320 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:33:07,725 log "GET /api/plans/ HTTP/1.1" 200 463
INFO 2025-12-25 18:33:07,730 log "GET /api/plans/ HTTP/1.1" 200 463
INFO 2025-12-25 18:33:11,602 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:33:11,611 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:33:13,822 log "OPTIONS /api/submissions/1/ HTTP/1.1" 200 0
INFO 2025-12-25 18:33:13,824 log "OPTIONS /api/submissions/1/ HTTP/1.1" 200 0
INFO 2025-12-25 18:33:13,839 log "GET /api/submissions/1/ HTTP/1.1" 200 509
INFO 2025-12-25 18:33:13,847 log "GET /api/submissions/1/ HTTP/1.1" 200 509
INFO 2025-12-25 18:33:19,084 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:33:19,091 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:33:20,965 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:33:20,972 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:33:20,975 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:33:20,980 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
